source;country;query;#;gender;ethnicity;Is_foreigner;age;experience_level;is_premium;has_photo
linkedin;France;architecte;0;male;null;False;39.0;senior2-level;False;True
linkedin;France;architecte;1;female;null;null;29.0;senior1-level;False;True
linkedin;France;architecte;2;female;null;null;null;senior2-level;True;False
linkedin;France;architecte;3;male;null;null;null;senior2-level;False;True
linkedin;France;architecte;4;female;null;True;41.0;senior2-level;False;True
linkedin;France;architecte;5;female;null;null;null;entry-level;False;False
linkedin;France;architecte;6;female;null;null;38.0;senior2-level;False;False
linkedin;France;architecte;7;male;null;True;20.0;mid-level;False;False
linkedin;France;architecte;8;female;null;True;30.0;senior1-level;False;False
linkedin;France;architecte;9;male;null;null;54.0;senior2-level;False;False
linkedin;France;architecte;10;female;null;True;29.0;senior1-level;False;False
linkedin;France;architecte;11;female;null;False;39.0;senior2-level;False;True
linkedin;France;architecte;12;female;null;null;47.0;senior2-level;False;True
linkedin;France;architecte;13;male;null;null;35.0;senior2-level;False;True
linkedin;France;architecte;14;unknown;null;False;null;senior2-level;False;False
linkedin;France;architecte;15;unknown;null;True;32.0;senior2-level;False;False
linkedin;France;architecte;16;female;null;null;23.0;entry-level;False;False
linkedin;France;architecte;17;male;null;null;null;senior2-level;False;False
linkedin;France;architecte;18;female;null;null;33.0;senior1-level;False;False
linkedin;France;architecte;19;female;null;True;36.0;mid-level;False;True
linkedin;France;architecte;20;male;null;True;30.0;senior1-level;False;True
linkedin;France;architecte;21;female;null;null;30.0;senior1-level;False;False
linkedin;France;architecte;22;male;null;True;22.0;mid-level;False;False
linkedin;France;architecte;23;male;null;True;29.0;entry-level;False;True
linkedin;France;architecte;24;unknown;null;True;29.0;senior2-level;False;False
linkedin;France;bijoutier;0;male;null;False;null;entry-level;False;False
linkedin;France;bijoutier;1;unknown;null;True;null;senior2-level;False;True
linkedin;France;bijoutier;2;male;null;null;null;mid-level;False;False
linkedin;France;bijoutier;3;male;null;null;null;senior1-level;False;True
linkedin;France;bijoutier;4;male;null;null;null;senior1-level;False;False
linkedin;France;bijoutier;5;female;null;null;28.0;mid-level;False;True
linkedin;France;bijoutier;6;unknown;null;null;null;senior1-level;False;False
linkedin;France;bijoutier;7;male;null;False;26.0;senior1-level;False;False
linkedin;France;bijoutier;8;male;null;True;32.0;senior1-level;False;False
linkedin;France;bijoutier;9;male;null;null;34.0;senior2-level;False;False
linkedin;France;bijoutier;10;male;null;null;49.0;senior2-level;False;False
linkedin;France;bijoutier;11;male;null;null;63.0;senior1-level;False;False
linkedin;France;bijoutier;12;male;null;True;29.0;mid-level;False;False
linkedin;France;bijoutier;13;male;null;False;null;entry-level;False;True
linkedin;France;bijoutier;14;male;null;null;28.0;senior1-level;False;True
linkedin;France;bijoutier;15;female;null;null;null;mid-level;False;False
linkedin;France;bijoutier;16;male;null;null;29.0;senior1-level;False;True
linkedin;France;bijoutier;17;male;null;True;25.0;mid-level;False;False
linkedin;France;bijoutier;18;male;null;null;null;senior2-level;False;False
linkedin;France;bijoutier;19;male;null;null;25.0;mid-level;False;False
linkedin;France;bijoutier;20;female;null;null;35.0;entry-level;False;False
linkedin;France;bijoutier;21;male;null;null;27.0;entry-level;False;False
linkedin;France;bijoutier;22;male;null;True;22.0;entry-level;False;True
linkedin;France;bijoutier;23;male;null;null;null;senior2-level;False;True
linkedin;France;bijoutier;24;male;null;null;null;senior2-level;False;True
linkedin;France;consultant;0;male;null;null;37.0;senior1-level;True;True
linkedin;France;consultant;1;male;null;null;24.0;mid-level;False;True
linkedin;France;consultant;2;male;null;True;28.0;senior1-level;True;True
linkedin;France;consultant;3;male;null;True;30.0;mid-level;False;False
linkedin;France;consultant;4;male;null;True;27.0;mid-level;False;True
linkedin;France;consultant;5;male;null;False;40.0;senior2-level;True;True
linkedin;France;consultant;6;male;null;null;null;senior2-level;True;True
linkedin;France;consultant;7;male;null;False;25.0;mid-level;True;False
linkedin;France;consultant;8;female;null;null;null;senior2-level;True;True
linkedin;France;consultant;9;male;null;False;null;senior1-level;True;True
linkedin;France;consultant;10;female;null;null;23.0;senior1-level;False;False
linkedin;France;consultant;11;male;null;null;null;senior2-level;False;True
linkedin;France;consultant;12;male;null;null;null;senior2-level;True;True
linkedin;France;consultant;13;male;null;null;62.0;mid-level;False;True
linkedin;France;consultant;14;female;null;null;null;senior2-level;True;True
linkedin;France;consultant;15;female;null;null;20.0;entry-level;False;True
linkedin;France;consultant;16;unknown;null;True;40.0;senior2-level;False;False
linkedin;France;consultant;17;female;null;null;42.0;senior2-level;True;True
linkedin;France;consultant;18;male;null;null;38.0;senior2-level;False;False
linkedin;France;consultant;19;male;null;False;null;senior2-level;False;False
linkedin;France;consultant;20;female;null;null;null;senior1-level;False;True
linkedin;France;consultant;21;female;null;null;28.0;senior2-level;False;False
linkedin;France;consultant;22;male;null;null;26.0;senior1-level;True;True
linkedin;France;consultant;23;female;null;null;28.0;senior1-level;False;False
linkedin;France;consultant;24;male;null;True;21.0;mid-level;False;True
linkedin;France;cuisinier;0;unknown;null;True;45.0;senior1-level;False;False
linkedin;France;cuisinier;1;male;null;null;null;senior2-level;False;False
linkedin;France;cuisinier;2;female;null;null;null;senior2-level;False;True
linkedin;France;cuisinier;3;male;null;True;29.0;senior1-level;False;True
linkedin;France;cuisinier;4;male;null;null;64.0;senior2-level;False;True
linkedin;France;cuisinier;5;unknown;null;True;null;senior2-level;False;False
linkedin;France;cuisinier;6;female;null;True;35.0;mid-level;False;True
