source;country;query;#;gender;ethnicity;Is_foreigner;age;experience_level;is_premium;has_photo;
viadeo;France;plombier;0;unknown;nan;True;nan;amateur-level;False;True;
viadeo;France;plombier;1;unknown;nan;True;nan;amateur-level;False;True;
viadeo;France;plombier;2;unknown;nan;True;nan;entry-level;False;True;
viadeo;France;plombier;3;unknown;nan;None;39.0;amateur-level;False;True;
viadeo;France;plombier;4;unknown;nan;False;nan;senior-level;False;True;
viadeo;France;plombier;5;unknown;nan;True;nan;mid-level;False;True;
viadeo;France;plombier;6;unknown;nan;None;nan;entry-level;False;True;
viadeo;France;plombier;7;unknown;nan;True;nan;None;False;True;
viadeo;France;plombier;8;unknown;nan;False;nan;None;False;True;
viadeo;France;plombier;9;unknown;nan;True;nan;None;False;True;
viadeo;France;plombier;10;unknown;nan;True;nan;entry-level;False;True;
viadeo;France;plombier;11;unknown;nan;None;nan;None;False;True;
viadeo;France;plombier;12;unknown;nan;False;nan;None;False;True;
viadeo;France;plombier;13;unknown;nan;False;nan;None;False;True;
viadeo;France;plombier;14;unknown;nan;False;nan;None;False;True;
viadeo;France;plombier;15;unknown;nan;None;nan;None;False;True;
viadeo;France;plombier;16;unknown;nan;True;nan;amateur-level;False;True;
viadeo;France;plombier;17;unknown;nan;True;nan;amateur-level;False;True;
viadeo;France;plombier;18;unknown;nan;None;nan;None;False;True;
viadeo;France;plombier;19;unknown;nan;True;26.0;None;False;True;
viadeo;France;libraire;0;male;nan;None;27.0;amateur-level;False;True;
viadeo;France;libraire;1;male;nan;None;nan;entry-level;False;True;
viadeo;France;libraire;2;female;nan;None;36.0;amateur-level;False;True;
viadeo;France;libraire;3;female;nan;None;36.0;senior-level;False;True;
viadeo;France;libraire;4;female;nan;None;48.0;amateur-level;False;True;
viadeo;France;libraire;5;female;nan;None;36.0;senior-level;False;True;
viadeo;France;libraire;6;female;nan;None;35.0;senior-level;False;True;
viadeo;France;libraire;7;female;nan;None;nan;amateur-level;False;True;
viadeo;France;libraire;8;female;nan;None;48.0;amateur-level;False;True;
viadeo;France;libraire;9;female;nan;None;46.0;amateur-level;False;True;
viadeo;France;libraire;10;female;nan;False;34.0;amateur-level;False;True;
viadeo;France;libraire;11;female;nan;None;34.0;amateur-level;False;True;
viadeo;France;libraire;12;female;nan;None;29.0;senior-level;False;True;
viadeo;France;libraire;13;female;nan;None;32.0;amateur-level;False;True;
viadeo;France;libraire;14;female;nan;None;33.0;amateur-level;False;True;
viadeo;France;libraire;15;female;nan;None;37.0;amateur-level;False;True;
viadeo;France;libraire;16;male;nan;None;41.0;amateur-level;False;True;
viadeo;France;libraire;17;female;nan;None;31.0;amateur-level;False;True;
viadeo;France;libraire;18;unknown;nan;None;49.0;entry-level;False;True;
viadeo;France;libraire;19;male;nan;None;59.0;senior-level;False;True;
viadeo;France;instructeur;0;unknown;nan;None;nan;entry-level;False;True;
viadeo;France;instructeur;1;female;nan;None;53.0;amateur-level;False;True;
viadeo;France;instructeur;2;male;nan;True;40.0;amateur-level;False;True;
viadeo;France;instructeur;3;female;nan;None;41.0;amateur-level;False;True;
viadeo;France;instructeur;4;male;nan;None;60.0;amateur-level;False;True;
viadeo;France;instructeur;5;male;nan;None;nan;amateur-level;False;True;
