source;country;query;#;gender;ethnicity;Is_foreigner;age;experience_level;is_premium;has_photo
linkedin;United Kigndom;architect;0;female;null;True;35.0;senior1-level;False;True
linkedin;United Kigndom;architect;1;female;null;True;28.0;mid-level;False;False
linkedin;United Kigndom;architect;2;male;null;True;28.0;mid-level;False;True
linkedin;United Kigndom;architect;3;female;null;True;32.0;senior2-level;False;True
linkedin;United Kigndom;architect;4;male;null;True;30.0;senior2-level;True;True
linkedin;United Kigndom;architect;5;male;null;True;33.0;senior1-level;False;True
linkedin;United Kigndom;architect;6;female;null;True;null;senior1-level;False;True
linkedin;United Kigndom;architect;7;male;null;True;null;senior2-level;False;True
linkedin;United Kigndom;architect;8;male;null;False;null;senior2-level;False;False
linkedin;United Kigndom;architect;9;female;null;True;31.0;senior2-level;False;False
linkedin;United Kigndom;architect;10;female;null;True;null;senior1-level;False;True
linkedin;United Kigndom;architect;11;male;null;True;29.0;mid-level;False;False
linkedin;United Kigndom;architect;12;female;null;True;30.0;senior2-level;False;True
linkedin;United Kigndom;architect;13;female;null;True;26.0;mid-level;False;False
linkedin;United Kigndom;architect;14;female;null;True;29.0;senior1-level;False;False
linkedin;United Kigndom;architect;15;male;null;False;35.0;mid-level;False;True
linkedin;United Kigndom;architect;16;unknown;null;True;49.0;senior2-level;False;True
linkedin;United Kigndom;architect;17;female;null;True;32.0;senior1-level;False;False
linkedin;United Kigndom;architect;18;female;null;True;31.0;senior2-level;False;False
linkedin;United Kigndom;architect;19;male;null;True;31.0;senior1-level;False;True
linkedin;United Kigndom;architect;20;male;null;True;29.0;senior1-level;False;False
linkedin;United Kigndom;architect;21;female;null;True;33.0;senior1-level;False;True
linkedin;United Kigndom;architect;22;male;null;True;null;senior2-level;False;False
linkedin;United Kigndom;architect;23;female;null;True;25.0;senior2-level;False;False
linkedin;United Kigndom;architect;24;male;null;False;29.0;senior2-level;False;True
linkedin;United Kigndom;chef;0;male;null;True;null;mid-level;False;True
linkedin;United Kigndom;chef;1;female;null;False;50.0;senior2-level;False;False
linkedin;United Kigndom;chef;2;male;null;True;29.0;senior2-level;False;False
linkedin;United Kigndom;chef;3;unknown;null;False;48.0;senior2-level;False;True
linkedin;United Kigndom;chef;4;unknown;null;True;null;senior2-level;False;True
linkedin;United Kigndom;chef;5;male;null;True;35.0;senior2-level;False;True
linkedin;United Kigndom;chef;6;male;null;False;null;entry-level;False;False
linkedin;United Kigndom;chef;7;female;null;False;51.0;senior2-level;False;True
linkedin;United Kigndom;chef;8;male;null;True;null;senior2-level;False;True
linkedin;United Kigndom;chef;9;female;null;False;null;senior2-level;False;True
linkedin;United Kigndom;chef;10;unknown;null;True;55.0;senior2-level;False;True
linkedin;United Kigndom;chef;11;male;null;True;null;senior2-level;False;False
linkedin;United Kigndom;chef;12;unknown;null;False;null;entry-level;False;False
linkedin;United Kigndom;chef;13;male;null;False;45.0;mid-level;False;False
linkedin;United Kigndom;chef;14;male;null;True;37.0;senior2-level;False;True
linkedin;United Kigndom;chef;15;male;null;True;null;mid-level;False;True
linkedin;United Kigndom;chef;16;female;null;False;null;senior2-level;False;True
linkedin;United Kigndom;chef;17;male;null;False;51.0;senior2-level;False;True
linkedin;United Kigndom;chef;18;unknown;null;True;36.0;senior2-level;True;True
linkedin;United Kigndom;chef;19;male;null;True;null;senior1-level;False;False
linkedin;United Kigndom;chef;20;male;null;True;null;senior2-level;False;False
