source;country;speciality;#;gender;ethnicity;Is_foreigner;age;experience_level;was_awarded;has_photo;num_stars;num_reviews
top doctors;Colombia;acupuntura;0;female;italian-hispanic;False;null;senior2-level;False;True;5.0;2
top doctors;Colombia;acupuntura;1;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;acupuntura;2;female;hispanic;False;null;null;False;True;0.0;0
top doctors;Colombia;acupuntura;3;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;acupuntura;4;female;hispanic;False;null;null;False;True;0.0;0
top doctors;Colombia;acupuntura;5;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;acupuntura;6;male;chinese;True;null;null;False;False;0.0;0
top doctors;Colombia;acupuntura;7;female;hispanic;False;null;null;False;True;5.0;1
top doctors;Colombia;acupuntura;8;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;acupuntura;9;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;acupuntura;10;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;acupuntura;11;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;acupuntura;12;female;hispanic;False;null;null;False;True;0.0;0
top doctors;Colombia;acupuntura;13;female;hispanic;False;null;null;False;True;0.0;0
top doctors;Colombia;acupuntura;14;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;alergologia;0;male;hispanic;False;null;senior2-level;True;True;4.0;20
top doctors;Colombia;alergologia;1;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;alergologia;2;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;alergologia;3;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;alergologia;4;male;nordic;True;null;null;False;True;0.0;0
top doctors;Colombia;alergologia;5;female;hispanic;False;null;null;False;True;0.0;0
top doctors;Colombia;alergologia;6;female;hispanic;False;null;null;False;True;0.0;0
top doctors;Colombia;alergologia;7;female;hispanic;False;null;null;False;True;0.0;0
top doctors;Colombia;andrologia;0;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;andrologia;1;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;angiologia y cirugia vascular;0;male;hispanic;False;23.0;senior2-level;True;True;5.0;9
top doctors;Colombia;angiologia y cirugia vascular;0;male;hispanic;False;null;null;False;True;0.0;0
top doctors;Colombia;angiologia y cirugia vascular;2;male;hispanic;False;null;senior2-level;True;True;5.0;13
top doctors;Colombia;angiologia y cirugia vascular;3;male;hispanic;False;null;null;False;True;0.0;0
top doctors;Colombia;angiologia y cirugia vascular;4;male;hispanic;False;38.0;senior2-level;False;True;5.0;2
top doctors;Colombia;angiologia y cirugia vascular;5;male;hispanic;False;null;senior2-level;False;True;5.0;2
top doctors;Colombia;angiologia y cirugia vascular;6;male;hispanic;False;null;senior2-level;False;True;5.0;1
top doctors;Colombia;angiologia y cirugia vascular;7;male;hispanic;False;null;null;False;True;5.0;2
top doctors;Colombia;angiologia y cirugia vascular;8;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;angiologia y cirugia vascular;9;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;angiologia y cirugia vascular;10;male;hispanic;False;null;null;False;True;0.0;0
top doctors;Colombia;angiologia y cirugia vascular;11;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;angiologia y cirugia vascular;12;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;angiologia y cirugia vascular;13;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;angiologia y cirugia vascular;14;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;angiologia y cirugia vascular;15;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;angiologia y cirugia vascular;16;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;angiologia y cirugia vascular;17;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;angiologia y cirugia vascular;18;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;angiologia y cirugia vascular;19;male;english;True;null;null;False;False;0.0;0
top doctors;Colombia;audiologia;0;female;hispanic-arab;False;null;senior2-level;False;True;0.0;0
top doctors;Colombia;audiologia;1;female;hispanic;False;null;null;False;True;0.0;0
top doctors;Colombia;audiologia;2;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;audiologia;3;female;hispanic-arab;False;null;null;False;True;0.0;0
top doctors;Colombia;audiologia;4;female;hispanic;False;null;null;False;True;0.0;0
top doctors;Colombia;audiologia;5;female;hispanic;False;null;null;False;True;0.0;0
top doctors;Colombia;cardiologia adultos;0;female;hispanic;False;null;senior2-level;False;True;0.0;0
top doctors;Colombia;cardiologia adultos;0;male;hispanic-english;False;null;senior2-level;False;True;5.0;1
top doctors;Colombia;cardiologia adultos;1;male;hispanic;False;null;senior2-level;True;True;5.0;3
top doctors;Colombia;cardiologia adultos;1;male;hispanic;False;24.0;senior2-level;False;False;5.0;1
