source;country;speciality;#;gender;ethnicity;Is_foreigner;age;experience_level;was_awarded;has_photo;num_stars;num_reviews
top doctors;Mexico;acupuntura;0;female;hispanic-arab;False;32.0;senior2-level;False;True;0.0;0
top doctors;Mexico;acupuntura;1;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Mexico;acupuntura;2;male;chinese;True;null;null;False;True;0.0;0
top doctors;Mexico;alergologia;0;male;hispanic;False;40.0;senior2-level;False;True;5.0;3
top doctors;Mexico;alergologia;0;female;hispanic;False;49.0;senior2-level;False;True;5.0;1
top doctors;Mexico;alergologia;1;female;hispanic-arab;False;27.0;senior2-level;False;True;5.0;1
top doctors;Mexico;alergologia;2;male;hispanic-thai;False;null;senior2-level;False;True;4.0;5
top doctors;Mexico;alergologia;2;male;hispanic-japanese;False;47.0;senior2-level;False;False;5.0;3
top doctors;Mexico;alergologia;3;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Mexico;alergologia;3;male;hispanic;False;36.0;senior2-level;False;True;5.0;3
top doctors;Mexico;alergologia;4;male;hispanic-arab;False;26.0;mid-level;False;True;5.0;2
top doctors;Mexico;alergologia;5;female;hispanic;False;null;null;False;True;0.0;0
top doctors;Mexico;alergologia;6;male;english;True;null;null;False;True;5.0;3
top doctors;Mexico;alergologia;7;female;hispanic-english;False;null;null;False;True;0.0;0
top doctors;Mexico;alergologia;7;male;hispanic;False;null;null;False;True;5.0;6
top doctors;Mexico;alergologia;8;male;hispanic;False;46.0;senior2-level;False;True;5.0;1
top doctors;Mexico;alergologia;8;female;hispanic;False;null;null;False;True;5.0;3
top doctors;Mexico;alergologia;9;female;hispanic-arab;False;36.0;senior2-level;False;True;5.0;2
top doctors;Mexico;alergologia;9;male;hispanic;False;null;null;False;True;0.0;0
top doctors;Mexico;alergologia;10;female;hispanic;False;null;null;False;True;0.0;0
top doctors;Mexico;alergologia;11;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Mexico;alergologia;16;male;hispanic;False;null;null;False;True;0.0;0
top doctors;Mexico;alergologia;17;female;hispanic-arab;False;null;null;False;True;0.0;0
top doctors;Mexico;andrologia;0;male;hispanic;False;null;senior2-level;False;True;5.0;7
top doctors;Mexico;andrologia;0;female;hispanic;False;null;null;False;True;0.0;0
top doctors;Mexico;andrologia;1;male;hispanic;False;null;senior2-level;False;True;5.0;5
top doctors;Mexico;angiologia y cirugia vascular;0;male;hispanic;False;null;senior2-level;False;True;5.0;2
