source;country;speciality;#;gender;ethnicity;Is_foreigner;age;experience_level;was_awarded;has_photo;num_stars;num_reviews
top doctors;Spain;urologia infantil;0;female;hispanic;False;36.0;senior2-level;False;True;5.0;3
top doctors;Spain;urologia infantil;1;male;hispanic;False;60.0;senior2-level;False;True;5.0;7
top doctors;Spain;urologia;0;male;hispanic;False;null;senior2-level;False;True;5.0;12
top doctors;Spain;urologia;1;male;hispanic;False;null;senior2-level;False;True;5.0;5
top doctors;Spain;urologia;2;male;hispanic;False;34.0;senior2-level;False;True;5.0;3
top doctors;Spain;urologia;3;male;hispanic;False;45.0;null;False;True;5.0;1
top doctors;Spain;urologia;4;male;hispanic-italian;False;53.0;senior2-level;False;True;5.0;18
top doctors;Spain;urologia;5;male;hispanic;False;48.0;null;False;True;5.0;4
top doctors;Spain;urologia;6;male;hispanic;False;54.0;senior2-level;False;True;4.0;6
top doctors;Spain;urologia;7;male;hispanic;False;null;senior2-level;False;True;5.0;16
top doctors;Spain;urologia;8;male;hispanic;False;null;senior2-level;False;True;4.0;44
top doctors;Spain;urologia;9;male;hispanic;False;38.0;null;False;True;0.0;0
top doctors;Spain;urologia;10;female;hispanic;False;27.0;null;False;True;0.0;0
top doctors;Spain;urologia;11;male;hispanic;False;null;senior2-level;False;True;5.0;5
top doctors;Spain;urologia;11;male;italian;True;null;senior2-level;False;True;5.0;4
top doctors;Spain;urologia;12;male;hispanic;False;null;senior2-level;False;True;5.0;11
top doctors;Spain;urologia;13;male;hispanic;False;41.0;senior2-level;False;True;5.0;10
top doctors;Spain;urologia;14;male;hispanic;False;null;senior2-level;False;True;5.0;3
top doctors;Spain;urologia;15;male;hispanic;False;31.0;null;False;True;5.0;1
top doctors;Spain;urologia;16;male;hispanic;False;41.0;null;False;True;0.0;0
top doctors;Spain;urologia;17;female;hispanic;False;null;senior2-level;False;True;5.0;12
top doctors;Spain;urologia;18;male;hispanic;False;66.0;senior2-level;False;True;5.0;32
top doctors;Spain;unidad del dolor;0;male;hispanic;False;null;senior2-level;False;True;5.0;4
top doctors;Spain;unidad del dolor;1;male;hispanic;False;70.0;null;False;True;0.0;0
top doctors;Spain;unidad del dolor;2;male;hispanic;False;31.0;senior2-level;False;True;0.0;0
top doctors;Spain;unidad del dolor;3;female;hispanic;False;48.0;senior2-level;False;True;5.0;9
top doctors;Spain;unidad del dolor;4;male;italian-english;True;38.0;null;False;True;0.0;0
top doctors;Spain;unidad del dolor;5;male;hispanic;False;null;senior2-level;False;True;5.0;9
top doctors;Spain;unidad del dolor;6;male;hispanic;False;50.0;senior2-level;False;False;0.0;0
top doctors;Spain;unidad del dolor;7;female;italian-hispanic;False;36.0;senior2-level;False;True;5.0;3
top doctors;Spain;unidad del dolor;8;male;hispanic;False;68.0;senior2-level;False;True;5.0;4
top doctors;Spain;unidad del dolor;9;male;hispanic;False;44.0;senior2-level;False;True;5.0;11
top doctors;Spain;unidad del dolor;10;male;hispanic;False;57.0;senior2-level;False;True;5.0;8
top doctors;Spain;unidad del dolor;11;male;hispanic;False;64.0;senior2-level;False;True;5.0;8
top doctors;Spain;unidad del dolor;12;male;hispanic;False;60.0;senior2-level;False;True;5.0;1
top doctors;Spain;unidad del dolor;13;female;hispanic;False;null;mid-level;False;True;5.0;4
top doctors;Spain;unidad del dolor;14;male;hispanic;False;51.0;senior2-level;False;True;5.0;10
top doctors;Spain;unidad del dolor;15;male;hispanic;False;50.0;senior2-level;False;True;5.0;7
top doctors;Spain;unidad del dolor;16;male;hispanic;False;null;senior2-level;False;True;4.0;11
top doctors;Spain;traumatologia infantil;0;male;hispanic;False;59.0;senior2-level;False;True;5.0;2
top doctors;Spain;traumatologia infantil;1;male;hispanic;False;43.0;senior2-level;True;True;5.0;36
top doctors;Spain;traumatologia infantil;2;female;hispanic;False;37.0;senior2-level;False;True;5.0;8
top doctors;Spain;traumatologia infantil;3;male;hispanic;False;37.0;senior2-level;False;True;5.0;7
top doctors;Spain;traumatologia infantil;4;male;hispanic;False;50.0;senior2-level;False;True;5.0;10
top doctors;Spain;traumatologia infantil;5;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Spain;traumatologia infantil;6;female;hispanic;False;48.0;senior2-level;False;True;5.0;8
top doctors;Spain;traumatologia infantil;7;male;hispanic;False;51.0;senior2-level;False;True;5.0;25
top doctors;Spain;traumatologia infantil;8;male;hispanic;False;null;null;False;True;5.0;8
top doctors;Spain;traumatologia;0;male;hispanic;False;null;null;False;True;5.0;1
top doctors;Spain;traumatologia;1;male;hispanic;False;null;senior2-level;False;True;5.0;8
top doctors;Spain;traumatologia;2;male;hispanic;False;53.0;senior2-level;False;True;5.0;38
top doctors;Spain;traumatologia;3;male;hispanic;False;43.0;null;False;True;5.0;11
top doctors;Spain;traumatologia;4;male;hispanic;False;48.0;null;False;True;5.0;2
top doctors;Spain;traumatologia;5;male;hispanic;False;42.0;senior2-level;False;True;5.0;17
top doctors;Spain;traumatologia;6;male;hispanic;False;59.0;senior2-level;False;True;5.0;19
top doctors;Spain;traumatologia;7;male;hispanic;False;null;senior2-level;False;True;5.0;25
top doctors;Spain;traumatologia;8;male;hispanic;False;60.0;senior2-level;False;True;5.0;13
top doctors;Spain;traumatologia;9;male;hispanic;False;null;senior2-level;False;True;5.0;6
top doctors;Spain;traumatologia;10;male;hispanic;False;46.0;senior2-level;False;True;4.0;15
top doctors;Spain;traumatologia;11;male;hispanic;False;null;senior2-level;False;True;4.0;13
top doctors;Spain;traumatologia;12;male;hispanic;False;49.0;senior2-level;False;True;5.0;7
top doctors;Spain;traumatologia;13;male;hispanic;False;null;null;False;True;0.0;0
top doctors;Spain;traumatologia;14;male;arab;True;33.0;null;False;True;0.0;0
top doctors;Spain;traumatologia;15;male;hispanic;False;null;senior2-level;False;True;4.0;23
top doctors;Spain;traumatologia;16;male;hispanic;False;38.0;null;False;True;0.0;0
top doctors;Spain;traumatologia;17;male;hispanic-english;False;58.0;senior2-level;False;True;4.0;40
top doctors;Spain;traumatologia;18;male;hispanic;False;null;senior2-level;False;False;5.0;4
top doctors;Spain;traumatologia;19;male;hispanic;False;35.0;senior2-level;False;True;5.0;5
top doctors;Spain;sexologia;0;male;hispanic;False;47.0;null;False;True;5.0;3
top doctors;Spain;reumatologia;0;male;hispanic;False;53.0;senior2-level;False;True;5.0;29
top doctors;Spain;reumatologia;1;male;hispanic;False;38.0;senior2-level;False;True;5.0;42
top doctors;Spain;reumatologia;2;male;hispanic;False;null;senior2-level;False;True;5.0;44
top doctors;Spain;reumatologia;3;male;hispanic;False;null;senior2-level;False;True;5.0;91
top doctors;Spain;reumatologia;4;male;hispanic;False;null;senior2-level;False;True;5.0;26
top doctors;Spain;reumatologia;5;male;hispanic;False;56.0;senior2-level;False;True;5.0;16
top doctors;Spain;reumatologia;6;male;hispanic;False;null;senior2-level;False;True;5.0;4
top doctors;Spain;reumatologia;7;male;hispanic;False;null;senior2-level;False;True;5.0;21
top doctors;Spain;reumatologia;8;male;hispanic;False;53.0;senior2-level;False;True;5.0;41
top doctors;Spain;reumatologia;9;female;french-arab;True;null;null;False;True;0.0;0
top doctors;Spain;reumatologia;10;male;hispanic-greek;False;null;null;False;False;0.0;0
top doctors;Spain;reumatologia;11;male;hispanic;False;null;null;False;True;0.0;0
top doctors;Spain;reumatologia;12;male;french-hispanic;False;null;null;False;False;0.0;0
top doctors;Spain;reumatologia;13;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Spain;reproduccion asistida;0;male;hispanic;False;39.0;senior2-level;False;True;0.0;0
top doctors;Spain;reproduccion asistida;1;male;hispanic;False;null;senior2-level;False;True;5.0;7
top doctors;Spain;reproduccion asistida;2;female;hispanic;False;null;senior2-level;False;True;5.0;1
top doctors;Spain;reproduccion asistida;3;male;hispanic;False;null;null;False;True;0.0;0
top doctors;Spain;reproduccion asistida;4;male;hispanic;False;45.0;senior2-level;False;True;5.0;10
top doctors;Spain;reproduccion asistida;5;male;hispanic;False;null;senior2-level;False;True;5.0;1
top doctors;Spain;reproduccion asistida;6;female;italian;True;null;senior2-level;False;True;5.0;2
top doctors;Spain;reproduccion asistida;7;female;hispanic;False;null;senior2-level;False;True;5.0;2
top doctors;Spain;reproduccion asistida;8;male;arab;True;null;senior2-level;False;True;5.0;6
top doctors;Spain;reproduccion asistida;9;female;hispanic;False;null;senior2-level;False;True;5.0;1
top doctors;Spain;reproduccion asistida;10;female;italian;True;null;senior2-level;False;True;5.0;2
top doctors;Spain;reproduccion asistida;11;male;hispanic;False;null;senior2-level;False;True;5.0;2
top doctors;Spain;reproduccion asistida;12;female;english;True;45.0;senior2-level;False;True;5.0;4
top doctors;Spain;reproduccion asistida;13;male;hispanic;False;null;null;False;True;5.0;1
top doctors;Spain;reproduccion asistida;14;male;hispanic;False;null;senior2-level;False;True;5.0;3
top doctors;Spain;reproduccion asistida;15;female;hispanic;False;null;senior2-level;False;True;5.0;13
top doctors;Spain;reproduccion asistida;16;female;english;True;null;senior2-level;False;True;5.0;3
top doctors;Spain;reproduccion asistida;17;male;hispanic;False;null;null;False;True;0.0;0
top doctors;Spain;reproduccion asistida;18;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Spain;reproduccion asistida;19;male;hispanic;False;null;null;False;True;0.0;0
top doctors;Spain;radiologia;0;male;hispanic;False;42.0;senior2-level;False;True;0.0;0
top doctors;Spain;radiologia;1;male;hispanic;False;53.0;null;False;True;0.0;0
top doctors;Spain;radiologia;2;male;hispanic;False;42.0;senior2-level;False;True;5.0;7
top doctors;Spain;radiologia;3;male;hispanic;False;50.0;null;False;True;4.0;1
top doctors;Spain;radiologia;4;female;hispanic;False;44.0;null;False;True;0.0;0
top doctors;Spain;radiologia;5;female;hispanic;False;30.0;null;False;True;0.0;0
top doctors;Spain;radiologia;6;female;hispanic-arab;False;null;null;False;True;0.0;0
top doctors;Spain;radiologia;7;male;hispanic;False;null;null;False;True;5.0;2
top doctors;Spain;radiologia;8;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Spain;radiologia;9;female;hispanic;False;null;null;False;True;0.0;0
top doctors;Spain;radiologia;10;male;hispanic;False;null;null;False;True;0.0;0
top doctors;Spain;radiologia;11;male;hispanic;False;null;null;False;True;0.0;0
top doctors;Spain;radiologia;12;male;hispanic;False;null;null;False;True;0.0;0
top doctors;Spain;psiquiatria infantil y adolescente especialidad;0;male;hispanic;False;49.0;senior2-level;False;True;5.0;14
top doctors;Spain;psiquiatria infantil y adolescente especialidad;1;male;hispanic;False;null;senior2-level;False;True;5.0;6
top doctors;Spain;psiquiatria;0;male;hispanic;False;null;senior2-level;False;True;5.0;10
top doctors;Spain;psiquiatria;1;male;hispanic;False;null;senior2-level;False;True;5.0;2
top doctors;Spain;psiquiatria;2;female;hispanic;False;34.0;null;False;True;0.0;0
top doctors;Spain;psiquiatria;3;male;hispanic-thai;False;37.0;senior2-level;False;True;5.0;8
top doctors;Spain;psiquiatria;4;male;hispanic;False;39.0;null;False;True;0.0;0
top doctors;Spain;psiquiatria;5;male;german;True;null;senior2-level;False;True;5.0;2
top doctors;Spain;psiquiatria;5;female;hispanic-italian;False;50.0;null;False;True;4.0;3
top doctors;Spain;psiquiatria;6;female;hispanic;False;null;senior2-level;False;True;5.0;4
top doctors;Spain;psiquiatria;7;female;hispanic;False;39.0;null;False;True;0.0;0
top doctors;Spain;psiquiatria;8;male;hispanic;False;null;senior2-level;False;True;5.0;4
top doctors;Spain;psiquiatria;10;female;hispanic;False;null;senior2-level;False;True;5.0;3
top doctors;Spain;psiquiatria;10;female;hispanic;False;42.0;senior2-level;False;True;5.0;9
top doctors;Spain;psiquiatria;11;male;hispanic;False;54.0;null;False;True;0.0;0
top doctors;Spain;psiquiatria;12;male;hispanic;False;null;null;False;True;0.0;0
top doctors;Spain;psiquiatria;13;female;hispanic;False;null;senior2-level;False;True;5.0;1
top doctors;Spain;psiquiatria;14;male;hispanic;False;null;senior2-level;False;True;5.0;14
top doctors;Spain;psiquiatria;15;male;hispanic;False;50.0;senior2-level;False;True;5.0;2
top doctors;Spain;psiquiatria;16;male;hispanic;False;38.0;null;False;True;5.0;3
top doctors;Spain;psiquiatria;17;male;hispanic;False;null;senior2-level;False;True;5.0;6
top doctors;Spain;psiquiatria;19;female;hispanic;False;23.0;null;False;True;0.0;0
top doctors;Spain;psicologia;0;female;hispanic-thai;False;null;null;False;True;4.0;2
top doctors;Spain;psicologia;1;female;italian;True;null;null;False;True;0.0;0
top doctors;Spain;psicologia;2;female;hispanic-english;False;27.0;null;False;True;0.0;0
top doctors;Spain;psicologia;3;female;hispanic-african;False;18.0;null;False;True;0.0;0
top doctors;Spain;psicologia;4;male;hispanic;False;39.0;senior2-level;False;True;5.0;8
top doctors;Spain;psicologia;5;male;hispanic-english;False;25.0;senior2-level;False;True;5.0;3
top doctors;Spain;psicologia;6;female;indian;True;null;null;False;True;0.0;0
top doctors;Spain;psicologia;7;female;hispanic;False;null;senior2-level;False;True;5.0;6
top doctors;Spain;psicologia;7;female;hispanic;False;null;null;False;True;0.0;0
top doctors;Spain;psicologia;10;female;hispanic;False;null;senior2-level;False;True;5.0;5
top doctors;Spain;psicologia;11;male;hispanic;False;36.0;senior2-level;False;True;5.0;5
top doctors;Spain;psicologia;12;male;hispanic;False;52.0;senior2-level;False;True;0.0;0
top doctors;Spain;psicologia;13;female;hispanic-nordic;False;null;senior2-level;False;True;4.0;2
top doctors;Spain;psicologia;15;female;hispanic;False;30.0;null;False;True;0.0;0
top doctors;Spain;psicologia;16;female;hispanic;False;20.0;null;False;True;5.0;8
top doctors;Spain;psicologia;17;female;hispanic;False;null;senior2-level;False;True;5.0;7
top doctors;Spain;psicologia;17;male;nordic-hispanic;False;38.0;senior2-level;False;True;4.0;3
top doctors;Spain;psicologia;18;female;hispanic;False;37.0;senior2-level;False;True;0.0;0
top doctors;Spain;psicologia;18;female;hispanic-chinese;False;33.0;senior2-level;False;True;5.0;7
top doctors;Spain;psicologia;19;female;hispanic;False;38.0;senior2-level;False;True;5.0;10
top doctors;Spain;podologia especialidad;0;female;italian-chinese;True;null;null;False;True;0.0;0
top doctors;Spain;pediatria;0;male;hispanic;False;null;senior2-level;False;True;5.0;7
top doctors;Spain;pediatria;0;male;hispanic;False;59.0;senior2-level;False;True;5.0;6
top doctors;Spain;pediatria;1;male;hispanic;False;38.0;senior2-level;False;True;5.0;5
top doctors;Spain;pediatria;1;male;hispanic;False;54.0;senior2-level;False;True;5.0;7
top doctors;Spain;pediatria;2;female;hispanic;False;39.0;null;False;True;0.0;0
top doctors;Spain;pediatria;3;male;hispanic;False;53.0;senior2-level;False;True;5.0;12
top doctors;Spain;pediatria;4;male;hispanic;False;37.0;senior2-level;False;True;5.0;10
top doctors;Spain;pediatria;5;female;hispanic;False;null;null;False;True;5.0;2
top doctors;Spain;pediatria;5;male;hispanic;False;42.0;senior2-level;False;True;5.0;4
top doctors;Spain;pediatria;6;female;hispanic;False;48.0;senior2-level;False;True;5.0;3
top doctors;Spain;pediatria;6;female;hispanic;False;null;senior2-level;False;True;5.0;8
top doctors;Spain;pediatria;7;male;hispanic-french;False;60.0;senior2-level;False;True;5.0;10
top doctors;Spain;pediatria;8;female;hispanic;False;43.0;senior2-level;False;True;5.0;3
top doctors;Spain;pediatria;9;female;hispanic;False;28.0;senior2-level;False;True;5.0;6
top doctors;Spain;pediatria;10;female;hispanic;False;40.0;senior2-level;False;True;5.0;5
top doctors;Spain;pediatria;10;female;hispanic;False;null;senior2-level;False;True;5.0;9
top doctors;Spain;pediatria;13;female;hispanic;False;34.0;senior2-level;False;True;3.0;3
top doctors;Spain;pediatria;15;male;hispanic;False;57.0;senior2-level;False;True;5.0;3
top doctors;Spain;pediatria;17;female;slav-hispanic;False;46.0;null;False;True;0.0;0
top doctors;Spain;pediatria;18;female;hispanic;False;38.0;senior2-level;False;True;5.0;4
top doctors;Spain;ozonoterapia especialidad;0;female;hispanic;False;46.0;senior2-level;False;True;5.0;8
top doctors;Spain;ozonoterapia especialidad;1;female;hispanic;False;37.0;senior2-level;False;True;5.0;4
top doctors;Spain;otorrinolaringologia;0;male;hispanic;False;37.0;null;False;True;5.0;6
top doctors;Spain;otorrinolaringologia;0;male;hispanic;False;41.0;senior2-level;False;True;5.0;19
top doctors;Spain;otorrinolaringologia;1;male;hispanic;False;38.0;senior2-level;False;True;0.0;0
top doctors;Spain;otorrinolaringologia;2;male;hispanic;False;54.0;senior2-level;False;True;5.0;2
top doctors;Spain;otorrinolaringologia;3;male;hispanic-indian;False;45.0;senior2-level;False;True;5.0;155
top doctors;Spain;otorrinolaringologia;4;male;hispanic;False;34.0;senior2-level;False;True;5.0;21
top doctors;Spain;otorrinolaringologia;5;male;hispanic;False;52.0;senior2-level;False;True;5.0;29
top doctors;Spain;otorrinolaringologia;6;male;hispanic;False;41.0;null;False;True;0.0;0
top doctors;Spain;otorrinolaringologia;7;male;hispanic;False;50.0;senior2-level;False;True;5.0;6
top doctors;Spain;otorrinolaringologia;8;female;hispanic;False;38.0;null;False;True;5.0;1
top doctors;Spain;otorrinolaringologia;9;male;hispanic;False;34.0;null;False;True;5.0;12
top doctors;Spain;otorrinolaringologia;10;male;hispanic;False;null;senior2-level;False;True;5.0;7
top doctors;Spain;otorrinolaringologia;11;female;hispanic;False;null;senior2-level;False;True;5.0;21
top doctors;Spain;otorrinolaringologia;12;male;hispanic;False;42.0;senior2-level;False;True;5.0;5
top doctors;Spain;otorrinolaringologia;13;male;hispanic;False;48.0;senior2-level;False;True;5.0;20
top doctors;Spain;otorrinolaringologia;14;male;french-hispanic;False;55.0;senior2-level;False;True;5.0;6
top doctors;Spain;otorrinolaringologia;15;male;hispanic-hungarian;False;65.0;senior2-level;False;True;5.0;13
top doctors;Spain;otorrinolaringologia;16;female;hispanic;False;null;senior2-level;False;True;5.0;13
top doctors;Spain;otorrinolaringologia;17;male;hispanic;False;41.0;null;False;True;0.0;0
top doctors;Spain;otorrinolaringologia;19;male;hispanic;False;45.0;senior2-level;False;True;5.0;52
top doctors;Spain;osteopatia;0;female;hispanic;False;20.0;null;False;True;5.0;1
top doctors;Spain;osteopatia;1;female;hispanic;False;null;senior2-level;False;True;5.0;7
top doctors;Spain;osteopatia;2;female;hispanic;False;null;senior2-level;False;True;5.0;1
top doctors;Spain;osteopatia;3;male;hispanic;False;null;senior2-level;False;True;5.0;5
top doctors;Spain;osteopatia;4;female;hispanic-arab;False;null;senior1-level;False;True;5.0;2
top doctors;Spain;osteopatia;5;male;french;True;31.0;senior2-level;False;True;5.0;4
top doctors;Spain;osteopatia;6;female;hispanic;False;null;senior2-level;False;True;5.0;1
top doctors;Spain;osteopatia;7;male;hispanic;False;27.0;senior2-level;False;True;5.0;9
top doctors;Spain;osteopatia;8;male;indian;True;31.0;senior2-level;False;True;5.0;18
