source;country;query;#;gender;ethnicity;Is_foreigner;age;experience_level;is_premium;has_photo;
viadeo;France;architecte;0;unknown;null;True;null;senior2-level;False;True;
viadeo;France;architecte;1;male;null;null;39.0;senior2-level;False;True;
viadeo;France;architecte;2;male;null;null;59.0;senior2-level;False;True;
viadeo;France;architecte;3;unknown;null;null;39.0;senior2-level;False;True;
viadeo;France;architecte;4;female;null;null;56.0;senior2-level;False;True;
viadeo;France;architecte;5;male;null;null;34.0;senior2-level;False;True;
viadeo;France;architecte;6;male;null;null;50.0;senior2-level;False;True;
viadeo;France;architecte;7;female;null;null;29.0;senior2-level;False;True;
viadeo;France;architecte;8;female;null;False;33.0;senior2-level;False;True;
viadeo;France;architecte;9;male;null;null;null;senior2-level;False;True;
viadeo;France;architecte;10;male;null;True;37.0;mid-level;False;True;
viadeo;France;architecte;11;female;null;null;54.0;senior2-level;False;True;
viadeo;France;architecte;12;male;null;False;61.0;senior2-level;False;True;
viadeo;France;architecte;13;male;null;False;44.0;senior2-level;False;True;
viadeo;France;architecte;14;female;null;False;36.0;senior2-level;False;True;
viadeo;France;architecte;15;male;null;null;null;senior2-level;False;True;
viadeo;France;architecte;16;male;null;True;57.0;senior2-level;False;True;
viadeo;France;architecte;17;female;null;True;37.0;senior2-level;False;True;
viadeo;France;architecte;18;female;null;null;36.0;senior2-level;False;True;
viadeo;France;architecte;19;unknown;null;True;64.0;null;False;True;
viadeo;France;arpenteur;0;male;null;null;null;null;False;True;
viadeo;France;arpenteur;1;male;null;False;null;senior2-level;False;True;
viadeo;France;arpenteur;2;male;null;null;null;mid-level;False;True;
viadeo;France;arpenteur;3;male;null;null;null;senior2-level;False;True;
viadeo;France;arpenteur;4;male;null;null;39.0;senior2-level;False;True;
viadeo;France;arpenteur;5;female;null;null;50.0;senior2-level;False;True;
viadeo;France;arpenteur;6;male;null;null;28.0;senior1-level;False;True;
viadeo;France;arpenteur;7;female;null;null;null;senior2-level;False;True;
viadeo;France;arpenteur;8;male;null;True;null;senior2-level;False;True;
viadeo;France;arpenteur;9;unknown;null;True;34.0;senior2-level;False;True;
viadeo;France;arpenteur;10;male;null;null;46.0;senior2-level;False;True;
viadeo;France;arpenteur;11;female;null;False;25.0;senior1-level;False;True;
viadeo;France;arpenteur;12;female;null;null;40.0;senior2-level;False;True;
viadeo;France;arpenteur;13;male;null;True;58.0;senior2-level;False;True;
viadeo;France;avocat;0;unknown;null;False;45.0;senior2-level;False;True;
viadeo;France;avocat;1;unknown;null;False;22.0;senior2-level;False;True;
viadeo;France;avocat;2;unknown;null;True;41.0;entry-level;False;True;
viadeo;France;avocat;3;unknown;null;True;null;senior1-level;True;True;
viadeo;France;avocat;4;male;null;null;27.0;senior1-level;False;True;
viadeo;France;avocat;5;male;null;null;55.0;senior2-level;False;True;
viadeo;France;avocat;6;unknown;null;True;null;senior2-level;False;True;
viadeo;France;avocat;7;male;null;True;null;senior2-level;False;True;
