source;country;query;#;gender;ethnicity;Is_foreigner;age;experience_level;is_premium;has_photo;;
viadeo;Spain;veterinario;0;unknown;null;False;null;null;False;True;;
viadeo;Spain;veterinario;1;unknown;null;null;null;entry-level;False;True;;
viadeo;Spain;veterinario;2;male;null;True;null;senior2-level;False;True;;
viadeo;Spain;veterinario;3;male;null;null;null;entry-level;False;True;;
viadeo;Spain;veterinario;4;female;null;False;null;senior2-level;False;True;;
viadeo;Spain;veterinario;5;male;null;null;null;null;False;True;;
viadeo;Spain;veterinario;6;male;null;null;null;mid-level;False;True;;
viadeo;Spain;veterinario;7;male;null;True;null;entry-level;False;True;;
viadeo;Spain;veterinario;8;male;null;null;null;entry-level;False;True;;
viadeo;Spain;veterinario;9;male;null;null;null;entry-level;False;True;;
viadeo;Spain;veterinario;10;male;null;null;null;entry-level;False;True;;
viadeo;Spain;veterinario;11;male;null;null;null;senior2-level;False;True;;
viadeo;Spain;veterinario;12;male;null;null;null;entry-level;False;True;;
viadeo;Spain;veterinario;13;male;null;null;null;entry-level;False;True;;
viadeo;Spain;veterinario;14;male;null;null;null;entry-level;False;True;;
viadeo;Spain;veterinario;15;female;null;null;null;null;False;True;;
viadeo;Spain;veterinario;16;male;null;null;38.0;senior2-level;False;True;;
viadeo;Spain;veterinario;17;male;null;null;null;null;False;True;;
viadeo;Spain;veterinario;18;female;null;True;null;entry-level;False;True;;
viadeo;Spain;veterinario;19;male;null;null;55.0;senior1-level;False;True;;
viadeo;Spain;vendedor;0;male;null;True;null;senior1-level;False;True;;
viadeo;Spain;vendedor;1;male;null;null;38.0;senior2-level;False;True;;
viadeo;Spain;vendedor;2;male;null;null;39.0;senior2-level;False;True;;
viadeo;Spain;vendedor;3;male;null;False;null;senior2-level;False;True;;
viadeo;Spain;vendedor;4;male;null;null;35.0;senior2-level;False;True;;
viadeo;Spain;vendedor;5;male;null;null;null;senior2-level;False;True;;
viadeo;Spain;vendedor;6;male;null;False;null;senior2-level;False;True;;
viadeo;Spain;vendedor;7;unknown;null;True;null;senior1-level;False;True;;
viadeo;Spain;vendedor;8;male;null;null;null;entry-level;False;True;;
viadeo;Spain;vendedor;9;female;null;False;null;entry-level;False;True;;
viadeo;Spain;vendedor;10;male;null;False;null;entry-level;False;True;;
viadeo;Spain;vendedor;11;male;null;null;null;senior2-level;False;True;;
viadeo;Spain;vendedor;12;male;null;null;null;senior2-level;False;True;;
viadeo;Spain;vendedor;13;male;null;null;57.0;senior2-level;False;True;;
viadeo;Spain;vendedor;14;male;null;null;68.0;entry-level;False;True;;
viadeo;Spain;vendedor;15;male;null;null;39.0;entry-level;False;True;;
viadeo;Spain;vendedor;16;male;null;null;51.0;entry-level;False;True;;
viadeo;Spain;vendedor;17;male;null;null;null;entry-level;False;True;;
viadeo;Spain;vendedor;18;male;null;null;null;entry-level;False;True;;
